HEADWORD	IPA	SOUND_CLASSES
abplagen	a p p l a g ə n	V P P R V K V N
abplatten	a p p l a t ə n	V P P R V T V N
abprallen	a p p r a l ə n	V P P R V R V N
Abprall	a p p r a l	V P P R V R
abpressen	a p p r ɛ s ə n	V P P R V S V N
abprotzen	a p p r ɔ ts ə n	V P P R V K V N
abputzen	a p p ʊ ts ə n	V P P V K V N
Abputz	a p p ʊ ts	V P P V K
abquälen	a p k v æ l ə n	V P K W V R V N
abqualifizieren	a p k v a l i f i ts i r ə n	V P K W V R V P V K V R V N
abrackern	a p r a k ə r n	V P R V K V R N
abrahmen	a p r a m ə n	V P R V M V N
Abrakadabra	a b r a k a d a b r a	V P R V K V T V P R V
abrasieren	a p r a z i r ə n	V P R V S V R V N
Abrasion	a b r a z i o n	V P R V S V V N
abraten	a p r a t ə n	V P R V T V N
abräumen	a p r χ m ə n	V P R K M V N
Abraum	a p r au m	V P R V M
Abraumsalz	a p r au m z a l ts	V P R V M S V R K
Abraxas	a b r a k s a s	V P R V K S V S
abreagieren	a p r e a g i r ə n	V P R V V K V R V N
abrebeln	a p r e b ə l n	V P R V P V R N
abrechnen	a p r ɛ x n ə n	V P R V K N V N
Abrechnung	a p r ɛ x n ʊ ŋ	V P R V K N V N
Abrechte	a p r ɛ x t ə	V P R V K T V
Abrede	a p r e d ə	V P R V T V
abregen	a p r e g ə n	V P R V K V N
abreiben	a p r ai b ə n	V P R V P V N
Abreibung	a p r ai b ʊ ŋ	V P R V P V N
abreichen	a p r ai x ə n	V P R V K V N
abreisen	a p r ai z ə n	V P R V S V N
Abreise	a p r ai z ə	V P R V S V
abreissen	a p r ai s ə n	V P R V S V N
Abreissblock	a p r ai s b l ɔ k	V P R V S P R V K
Abreisskalender	a p r ai s k a l ɛ n d ə r	V P R V S K V R V N T V R
abreiten	a p r ai t ə n	V P R V T V N
abrichten	a p r ɪ x t ə n	V P R V K T V N
Abrichter	a p r ɪ x t ə r	V P R V K T V R
Abrichtung	a p r ɪ x t ʊ ŋ	V P R V K T V N
Abrieb	a p r i p	V P R V P
abriebfest	a p r i p f ɛ s t	V P R V P P V S T
abriegeln	a p r i g ə l n	V P R V K V R N
Abriegelung	a p r i g ə l ʊ ŋ	V P R V K V R V N
Abrieglung	a p r i g l ʊ ŋ	V P R V K R V N
abringen	a p r ɪ ŋ ə n	V P R V N V N
Abriss	a p r ɪ s	V P R V S
abrollen	a p r ɔ l ə n	V P R V R V N
abrücken	a p r ʏ k ə n	V P R V K V N
abrufen	a p r u f ə n	V P R V P V N
Abruf	a p r u f	V P R V P
abrufbereit	a p r u f b ə r ai t	V P R V P P V R V T
abrunden	a p r ʊ n d ə n	V P R V N T V N
Abrundung	a p r ʊ n d ʊ ŋ	V P R V N T V N
abrupfen	a p r ʊ pf ə n	V P R V P V N
abrupt	a p r ʊ p t	V P R V P T
abrüsten	a p r ʏ s t ə n	V P R V S T V N
Abrüstung	a p r ʏ s t ʊ ŋ	V P R V S T V N
Abrüstungskonferenz	a p r ʏ s t ʊ ŋ s k ɔ n f e r ɛ n ts	V P R V S T V N S K V N P V R V N K
abrutschen	a p r ʊ ɲ ə n	V P R V N V N
absacken	a p z a k ə n	V P S V K V N
absagen	a p z a g ə n	V P S V K V N
absägen	a p z æ g ə n	V P S V K V N
Absage	a p z a g ə	V P S V K V
absahnen	a p z a n ə n	V P S V N V N
Absatz	a p z a ts	V P S V K
Absatzgebiet	a p z a ts g ə b i t	V P S V K K V P V T
absatzweise	a p z a ts v ai z ə	V P S V K W V S V
absaufen	a p z au f ə n	V P S V P V N
abschaben	a p ʃ a b ə n	V P S V P V N
abschaffen	a p ʃ a f ə n	V P S V P V N
Abschaffung	a p ʃ a f ʊ ŋ	V P S V P V N
abschalten	a p ʃ a l t ə n	V P S V R T V N
abschatten	a p ʃ a t ə n	V P S V T V N
abschattieren	a p ʃ a t i r ə n	V P S V T V R V N
Abschattung	a p ʃ a t ʊ ŋ	V P S V T V N
abschätzen	a p ʃ ɛ ts ə n	V P S V K V N
abschätzig	a p ʃ ɛ ts ɪ x	V P S V K V K
Abschaum	a p ʃ au m	V P S V M
abscheiden	a p ʃ ai d ə n	V P S V T V N
abscheren	a p ʃ e r ə n	V P S V R V N
Abscheu	a p ʃ χ	V P S K
abscheürregend	a p ʃ χ ɛ r r e g ə n t	V P S K V R R V K V N T
abscheulich	a p ʃ χ l ɪ x	V P S K R V K
Abscheulichkeit	a p ʃ χ l ɪ x k ai t	V P S K R V K K V T
abschicken	a p ʃ ɪ k ə n	V P S V K V N
abschieben	a p ʃ i b ə n	V P S V P V N
Abschiebung	a p ʃ i b ʊ ŋ	V P S V P V N
Abschied	a p ʃ i t	V P S V T
Abschiedsbesuch	a p ʃ i ts b ə z u x	V P S V K P V S V K
Abschiedsbrief	a p ʃ i ts b r i f	V P S V K P R V P
Abschiedstag	a p ʃ i ts t a k	V P S V K T V K
abschiessen	a p ʃ i s ə n	V P S V S V N
abschilfern	a p ʃ ɪ l f ə r n	V P S V R P V R N
Abschilferung	a p ʃ ɪ l f ə r ʊ ŋ	V P S V R P V R V N
abschinden	a p ʃ ɪ n d ə n	V P S V N T V N
abschirmen	a p ʃ ɪ r m ə n	V P S V R M V N
Abschirmung	a p ʃ ɪ r m ʊ ŋ	V P S V R M V N
abschirren	a p ʃ ɪ r ə n	V P S V R V N
abschlachten	a p ʃ l a x t ə n	V P S R V K T V N
Abschlachtung	a p ʃ l a x t ʊ ŋ	V P S R V K T V N
abschlaffen	a p ʃ l a f ə n	V P S R V P V N
abschlagen	a p ʃ l a g ə n	V P S R V K V N
Abschlag	a p ʃ l a k	V P S R V K
abschlägig	a p ʃ l æ g ɪ x	V P S R V K V K
abschläglich	a p ʃ l æ k l ɪ x	V P S R V K R V K
Abschlagszahlung	a p ʃ l a k s ts a l ʊ ŋ	V P S R V K S K V R V N
abschlämmen	a p ʃ l ɛ m ə n	V P S R V M V N
abschleifen	a p ʃ l ai f ə n	V P S R V P V N
abschleppen	a p ʃ l ɛ p ə n	V P S R V P V N
Abschleppdienst	a p ʃ l ɛ p d i n s t	V P S R V P T V N S T
abschliessen	a p ʃ l i s ə n	V P S R V S V N
Abschluss	a p ʃ l ʊ s	V P S R V S
Abschlussexamen	a p ʃ l ʊ s ɛ k s a m ə n	V P S R V S V K S V M V N
Abschlussprüfung	a p ʃ l ʊ s p r y f ʊ ŋ	V P S R V S P R V P V N
Abschlussstichtag	a p ʃ l ʊ s ʃ t ɪ x t a k	V P S R V S S T V K T V K
abschmalzen	a p ʃ m a l ts ə n	V P S M V R K V N
abschmälzen	a p ʃ m ɛ l ts ə n	V P S M V R K V N
abschmecken	a p ʃ m ɛ k ə n	V P S M V K V N
abschmelzen	a p ʃ m ɛ l ts ə n	V P S M V R K V N
abschmettern	a p ʃ m ɛ t ə r n	V P S M V T V R N
abschmieren	a p ʃ m i r ə n	V P S M V R V N
abschminken	a p ʃ m ɪ ŋ k ə n	V P S M V N K V N
abschmirgeln	a p ʃ m ɪ r g ə l n	V P S M V R K V R N
abschnallen	a p ʃ n a l ə n	V P S N V R V N
abschneiden	a p ʃ n ai d ə n	V P S N V T V N
Abschnitt	a p ʃ n ɪ t	V P S N V T
abschnittsweise	a p ʃ n ɪ ts v ai z ə	V P S N V K W V S V
Abschnitzel	a p ʃ n ɪ ts ə l	V P S N V K V R
abschnüren	a p ʃ n y r ə n	V P S N V R V N
Abschnürung	a p ʃ n y r ʊ ŋ	V P S N V R V N
abschöpfen	a p ʃ œ pf ə n	V P S V P V N
Abschöpfung	a p ʃ œ + ʊ ŋ	V P S V + V N
abschotten	a p ʃ ɔ t ə n	V P S V T V N
abschrägen	a p ʃ r æ g ə n	V P S R V K V N
abschrauben	a p ʃ r au b ə n	V P S R V P V N
abschrecken	a p ʃ r ɛ k ə n	V P S R V K V N
abschreckend	a p ʃ r ɛ k ə n t	V P S R V K V N T
Abschreckung	a p ʃ r ɛ k ʊ ŋ	V P S R V K V N
Abschreckungsstrafe	a p ʃ r ɛ k ʊ ŋ s ʃ t r a f ə	V P S R V K V N S S T R V P V
abschreiben	a p ʃ r ai b ə n	V P S R V P V N
Abschreibung	a p ʃ r ai b ʊ ŋ	V P S R V P V N
Abschrift	a p ʃ r ɪ f t	V P S R V P T
abschriftlich	a p ʃ r ɪ f t l ɪ x	V P S R V P T R V K
abschroten	a p ʃ r o t ə n	V P S R V T V N
Abschrot	a p ʃ r o t	V P S R V T
abschrubben	a p ʃ r ʊ b ə n	V P S R V P V N
abschuften	a p ʃ ʊ f t ə n	V P S V P T V N
abschuppen	a p ʃ ʊ p ə n	V P S V P V N
Abschuppung	a p ʃ ʊ p ʊ ŋ	V P S V P V N
abschürfen	a p ʃ ʏ r f ə n	V P S V R P V N
Abschürfung	a p ʃ ʏ r f ʊ ŋ	V P S V R P V N
Abschuss	a p ʃ ʊ s	V P S V S
abschüssig	a p ʃ ʏ s ɪ x	V P S V S V K
Abschussrampe	a p ʃ ʊ s r a m p ə	V P S V S R V M P V
abschütten	a p ʃ ʏ t ə n	V P S V T V N
abschütteln	a p ʃ ʏ t ə l n	V P S V T V R N
abschwächen	a p ʃ v æ x ə n	V P S W V K V N
Abschwächung	a p ʃ v æ x ʊ ŋ	V P S W V K V N
abschweifen	a p ʃ v ai f ə n	V P S W V P V N
Abschweifung	a p ʃ v ai f ʊ ŋ	V P S W V P V N
abschwellen	a p ʃ v ɛ l ə n	V P S W V R V N
abschwemmen	a p ʃ v ɛ m ə n	V P S W V M V N
abschwenken	a p ʃ v ɛ ŋ k ə n	V P S W V N K V N
abschwingen	a p ʃ v ɪ ŋ ə n	V P S W V N V N
abschwirren	a p ʃ v ɪ r ə n	V P S W V R V N
abschwören	a p ʃ v ɶː r ə n	V P S W V R V N
Abschwung	a p ʃ v ʊ ŋ	V P S W V N
absehen	a p z e ə n	V P S V V N
absehbar	a p z e b a r	V P S V P V R
absein	a p z ai n	V P S V N
abseilen	a p z ai l ə n	V P S V R V N
abseit	a p z ai t	V P S V T
Abseit	a p z ai t	V P S V T
Abseite	a p z ai t ə	V P S V T V
Abseitigkeit	a p z ai t ɪ x k ai t	V P S V T V K K V T
abseits	a p z ai ts	V P S V K
Abseits	a p z ai ts	V P S V K
abseits	a p z ai ts	V P S V K
Abseitsstellung	a p z ai ts ʃ t ɛ l ʊ ŋ	V P S V K S T V R V N
absenden	a p z ɛ n d ə n	V P S V N T V N
Absender	a p z ɛ n d ə r	V P S V N T V R
Absendung	a p z ɛ n d ʊ ŋ	V P S V N T V N
absenken	a p z ɛ ŋ k ə n	V P S V N K V N
Absenker	a p z ɛ ŋ k ə r	V P S V N K V R
absentieren	a p z ɛ n t i r ə n	V P S V N T V R V N
Absenz	a p z ɛ n ts	V P S V N K
abserbeln	a p z ɛ r b ə l n	V P S V R P V R N
abservieren	a p z ɛ r v i r ə n	V P S V R W V R V N
absetzen	a p z ɛ ts ə n	V P S V K V N
absetzbar	a p z ɛ ts b a r	V P S V K P V R
Absetzung	a p z ɛ ts ʊ ŋ	V P S V K V N
absichern	a p z ɪ x ə r n	V P S V K V R N
Absicht	a p z ɪ x t	V P S V K T
absichtlich	a p z ɪ x t l ɪ x	V P S V K T R V K
Absichtlichkeit	a p z ɪ x t l ɪ x k ai t	V P S V K T R V K K V T
Absichtserklärung	a p z ɪ x ts ɛ r k l æ r ʊ ŋ	V P S V K K V R K R V R V N
absichtslos	a p z ɪ x ts l o s	V P S V K K R V S
absichtsvoll	a p z ɪ x ts f ɔ l	V P S V K K P V R
absingen	a p z ɪ ŋ ə n	V P S V N V N
absinken	a p z ɪ ŋ k ə n	V P S V N K V N
absitzen	a p z ɪ ts ə n	V P S V K V N
absolut	a p z o l u t	V P S V R V T
Absolutheit	a p z o l u t h ai t	V P S V R V T H V T
Absolution	a p z o l u ts i o n	V P S V R V K V V N
Absolutismus	a p z o l u t ɪ s m ʊ s	V P S V R V T V S M V S
Absolutist	a p z o l u t ɪ s t	V P S V R V T V S T
absolutistisch	a p z o l u t ɪ s t ɪ ʃ	V P S V R V T V S T V S
Absolutorium	a p z o l u t o r i ʊ m	V P S V R V T V R V V M
Absolvent	a p z ɔ l v ɛ n t	V P S V R W V N T
absolvieren	a p z ɔ l v i r ə n	V P S V R W V R V N
Absolvierung	a p z ɔ l v i r ʊ ŋ	V P S V R W V R V N
absondern	a p z ɔ n d ə r n	V P S V N T V R N
absonderlich	a p z ɔ n d ə r l ɪ x	V P S V N T V R R V K
Absonderlichkeit	a p z ɔ n d ə r l ɪ x k ai t	V P S V N T V R R V K K V T
Absonderung	a p z ɔ n d ə r ʊ ŋ	V P S V N T V R V N
Absorbens	a p z ɔ r b ɛ n s	V P S V R P V N S
Absorber	a p z ɔ r b ə r	V P S V R P V R
absorbieren	a p z ɔ r b i r ə n	V P S V R P V R V N
Absorption	a p z ɔ r p ts i o n	V P S V R P K V V N
absorptiv	a p z ɔ r p t i f	V P S V R P T V P
abspalten	a p ʃ p a l t ə n	V P S P V R T V N
Abspaltung	a p ʃ p a l t ʊ ŋ	V P S P V R T V N
abspanen	a p ʃ p a n ə n	V P S P V N V N
abspänen	a p ʃ p æ n ə n	V P S P V N V N
abspannen	a p ʃ p a n ə n	V P S P V N V N
Abspannung	a p ʃ p a n ʊ ŋ	V P S P V N V N
absparen	a p ʃ p a r ə n	V P S P V R V N
abspeichern	a p ʃ p ai x ə r n	V P S P V K V R N
abspeisen	a p ʃ p ai z ə n	V P S P V S V N
abspenstig	a p ʃ p ɛ n s t ɪ x	V P S P V N S T V K
absperren	a p ʃ p ɛ r ə n	V P S P V R V N
Absperrhahn	a p ʃ p ɛ r h a n	V P S P V R H V N
Absperrkette	a p ʃ p ɛ r k ɛ t ə	V P S P V R K V T V
Absperrung	a p ʃ p ɛ r ʊ ŋ	V P S P V R V N
abspiegeln	a p ʃ p i g ə l n	V P S P V K V R N
abspielen	a p ʃ p i l ə n	V P S P V R V N
absplittern	a p ʃ p l ɪ t ə r n	V P S P R V T V R N
Absplitterung	a p ʃ p l ɪ t ə r ʊ ŋ	V P S P R V T V R V N
Absprache	a p ʃ p r a x ə	V P S P R V K V
absprachegemäss	a p ʃ p r a x ə g ə m æ s	V P S P R V K V K V M V S
absprechen	a p ʃ p r ɛ x ə n	V P S P R V K V N
abspringen	a p ʃ p r ɪ ŋ ə n	V P S P R V N V N
Absprung	a p ʃ p r ʊ ŋ	V P S P R V N
Absprunghafen	a p ʃ p r ʊ ŋ h a f ə n	V P S P R V N H V P V N
abspulen	a p ʃ p u l ə n	V P S P V R V N
abspülen	a p ʃ p y l ə n	V P S P V R V N
abstammen	a p ʃ t a m ə n	V P S T V M V N
Abstammung	a p ʃ t a m ʊ ŋ	V P S T V M V N
Abstand	a p ʃ t a n t	V P S T V N T
abständig	a p ʃ t ɛ n d ɪ x	V P S T V N T V K
Abstandssumme	a p ʃ t a n ts z ʊ m ə	V P S T V N K S V M V
abstatten	a p ʃ t a t ə n	V P S T V T V N
abstauben	a p ʃ t au b ə n	V P S T V P V N
abstäuben	a p ʃ t χ b ə n	V P S T K P V N
abstechen	a p ʃ t ɛ x ə n	V P S T V K V N
Abstecher	a p ʃ t ɛ x ə r	V P S T V K V R
abstecken	a p ʃ t ɛ k ə n	V P S T V K V N
abstehen	a p ʃ t e ə n	V P S T V V N
absteifen	a p ʃ t ai f ə n	V P S T V P V N
absteigen	a p ʃ t ai g ə n	V P S T V K V N
Absteige	a p ʃ t ai g ə	V P S T V K V
Absteigequartier	a p ʃ t ai g ə k v a r t i r	V P S T V K V K W V R T V R
Absteiger	a p ʃ t ai g ə r	V P S T V K V R
abstellen	a p ʃ t ɛ l ə n	V P S T V R V N
Abstellbahnhof	a p ʃ t ɛ l b a n h o f	V P S T V R P V N H V P
Abstellgleis	a p ʃ t ɛ l g l ai s	V P S T V R K R V S
Abstellraum	a p ʃ t ɛ l r au m	V P S T V R R V M
Abstellung	a p ʃ t ɛ l ʊ ŋ	V P S T V R V N
abstempeln	a p ʃ t ɛ m p ə l n	V P S T V M P V R N
Abstempelung	a p ʃ t ɛ m p ə l ʊ ŋ	V P S T V M P V R V N
absteppen	a p ʃ t ɛ p ə n	V P S T V P V N
absterben	a p ʃ t ɛ r b ə n	V P S T V R P V N
Abstich	a p ʃ t ɪ x	V P S T V K
Abstieg	a p ʃ t i k	V P S T V K
abstiegsgefährdet	a p ʃ t i k s g ə f æ r d ə t	V P S T V K S K V P V R T V T
abstillen	a p ʃ t ɪ l ə n	V P S T V R V N
abstimmen	a p ʃ t ɪ m ə n	V P S T V M V N
Abstimmkreis	a p ʃ t ɪ m k r ai s	V P S T V M K R V S
Abstimmschärfe	a p ʃ t ɪ m ʃ ɛ r f ə	V P S T V M S V R P V
Abstimmung	a p ʃ t ɪ m ʊ ŋ	V P S T V M V N
Abstimmungsergebnis	a p ʃ t ɪ m ʊ ŋ s ɛ r g e p n ɪ s	V P S T V M V N S V R K V P N V S
abstinent	a p s t i n ɛ n t	V P S T V N V N T
Abstinent	a p s t i n ɛ n t	V P S T V N V N T
Abstinenz	a p s t i n ɛ n ts	V P S T V N V N K
Abstinenzler	a p s t i n ɛ n ts l ə r	V P S T V N V N K R V R
Abstinenztag	a p s t i n ɛ n ts t a k	V P S T V N V N K T V K
abstoppen	a p ʃ t ɔ p ə n	V P S T V P V N
abstossen	a p ʃ t o s ə n	V P S T V S V N
Abstoss	a p ʃ t o s	V P S T V S
abstossend	a p ʃ t o s ə n t	V P S T V S V N T
Abstossung	a p ʃ t o s ʊ ŋ	V P S T V S V N
abstottern	a p ʃ t ɔ t ə r n	V P S T V T V R N
abstrafen	a p ʃ t r a f ə n	V P S T R V P V N
Abstrafung	a p ʃ t r a f ʊ ŋ	V P S T R V P V N
abstrahieren	a p s t r a h i r ə n	V P S T R V H V R V N
abstrahlen	a p ʃ t r a l ə n	V P S T R V R V N
abstrakt	a p s t r a k t	V P S T R V K T
Abstraktion	a p s t r a k ts i o n	V P S T R V K K V V N
Abstraktionsfähigkeit	a p s t r a k ts i o n s f æ ɪ x k ai t	V P S T R V K K V V N S P V V K K V T
Abstraktum	a p s t r a k t ʊ m	V P S T R V K T V M
absträngen	a p ʃ t r ɛ ŋ ə n	V P S T R V N V N
abstreichen	a p ʃ t r ai x ə n	V P S T R V K V N
Abstreicher	a p ʃ t r ai x ə r	V P S T R V K V R
abstreiten	a p ʃ t r ai t ə n	V P S T R V T V N
Abstrich	a p ʃ t r ɪ x	V P S T R V K
abstrus	a p s t r u s	V P S T R V S
abstufen	a p ʃ t u f ə n	V P S T V P V N
Abstufung	a p ʃ t u f ʊ ŋ	V P S T V P V N
abstumpfen	a p ʃ t ʊ m pf ə n	V P S T V M P V N
Abstumpfung	a p ʃ t ʊ m + ʊ ŋ	V P S T V M + V N
abstürzen	a p ʃ t ʏ r ts ə n	V P S T V R K V N
Absturz	a p s t ʊ r ts	V P S T V R K
abstützen	a p ʃ t ʏ ts ə n	V P S T V K V N
absuchen	a p z u x ə n	V P S V K V N
absurd	a p z ʊ r t	V P S V R T
Absurdität	a p z ʊ r d i t æ t	V P S V R T V T V T
Abszess	a p s ts ɛ s	V P S K V S
Abszisse	a p s ts ɪ s ə	V P S K V S V
Abszissenachse	a p s ts ɪ s ə n a k s ə	V P S K V S V N V K S V
Abt	a p t	V P T
abtakeln	a p t a k ə l n	V P T V K V R N
Abtakelung	a p t a k ə l ʊ ŋ	V P T V K V R V N
Abtaklung	a p t a k l ʊ ŋ	V P T V K R V N
abtasten	a p t a s t ə n	V P T V S T V N
Abtastung	a p t a s t ʊ ŋ	V P T V S T V N
abtaün	a p t au ə n	V P T V V N
abtauschen	a p t au ʃ ə n	V P T V S V N
Abtausch	a p t au ʃ	V P T V S
Abtei	a p t ai	V P T V
abteilen	a p t ai l ə n	V P T V R V N
Abteil	a p t ai l	V P T V R
Abteilung	a p t ai l ʊ ŋ	V P T V R V N
Abteilungsleiter	a p t ai l ʊ ŋ s l ai t ə r	V P T V R V N S R V T V R
abteufen	a p t χ f ə n	V P T K P V N
abtippen	a p t ɪ p ə n	V P T V P V N
Äbtissin	ɛ p t ɪ s ɪ n	V P T V S V N
abtönen	a p t ɶː n ə n	V P T V N V N
Abtönung	a p t ɶː n ʊ ŋ	V P T V N V N
abtöten	a p t ɶː t ə n	V P T V T V N
Abtötung	a p t ɶː t ʊ ŋ	V P T V T V N
abtragen	a p t r a g ə n	V P T R V K V N
Abtrag	a p t r a k	V P T R V K
abträglich	a p t r æ k l ɪ x	V P T R V K R V K
Abtragung	a p t r a g ʊ ŋ	V P T R V K V N
Abtransport	a p t r a n s p ɔ r t	V P T R V N S P V R T
abtransportieren	a p t r a n s p ɔ r t i r ə n	V P T R V N S P V R T V R V N
abtreiben	a p t r ai b ə n	V P T R V P V N
Abtreibung	a p t r ai b ʊ ŋ	V P T R V P V N
abtrennen	a p t r ɛ n ə n	V P T R V N V N
abtrennbar	a p t r ɛ n b a r	V P T R V N P V R
Abtrennung	a p t r ɛ n ʊ ŋ	V P T R V N V N
abtreten	a p t r e t ə n	V P T R V T V N
Abtreter	a p t r e t ə r	V P T R V T V R
Abtretung	a p t r e t ʊ ŋ	V P T R V T V N
Abtrieb	a p t r i p	V P T R V P
Abtrift	a p t r ɪ f t	V P T R V P T
abtrocknen	a p t r ɔ k n ə n	V P T R V K N V N
abtropfen	a p t r ɔ pf ə n	V P T R V P V N
abtrotzen	a p t r ɔ ts ə n	V P T R V K V N
abtrumpfen	a p t r ʊ m pf ə n	V P T R V M P V N
abtun	a p t u n	V P T V N
abtupfen	a p t ʊ pf ə n	V P T V P V N
Abtwahl	a p t v a l	V P T W V R
abundant	a b ʊ n d a n t	V P V N T V N T
Abundanz	a b ʊ n d a n ts	V P V N T V N K
aburteilen	a p ʊ r t ai l ə n	V P V R T V R V N
Aburteilung	a p ʊ r t ai l ʊ ŋ	V P V R T V R V N
abverkaufen	a p f ɛ r k au f ə n	V P P V R K V P V N
abverlangen	a p f ɛ r l a ŋ ə n	V P P V R R V N V N
abvieren	a p f i r ə n	V P P V R V N
abwägen	a p v æ g ə n	V P W V K V N
abwägsam	a p v æ k z a m	V P W V K S V M
Abwägung	a p v æ g ʊ ŋ	V P W V K V N
abwählen	a p v æ l ə n	V P W V R V N
Abwahl	a p v a l	V P W V R
abwälzen	a p v ɛ l ts ə n	V P W V R K V N
abwandeln	a p v a n d ə l n	V P W V N T V R N
Abwandelung	a p v a n d ə l ʊ ŋ	V P W V N T V R V N
abwandern	a p v a n d ə r n	V P W V N T V R N
Abwanderung	a p v a n d ə r ʊ ŋ	V P W V N T V R V N
Abwandlung	a p v a n d l ʊ ŋ	V P W V N T R V N
Abwärme	a p v ɛ r m ə	V P W V R M V
abwarten	a p v a r t ə n	V P W V R T V N
Abwart	a p v a r t	V P W V R T
abwärts	a p v ɛ r ts	V P W V R K
abwaschen	a p v a ʃ ə n	V P W V S V N
Abwasch	a p v a ʃ	V P W V S
Abwaschung	a p v a ʃ ʊ ŋ	V P W V S V N
Abwasser	a p v a s ə r	V P W V S V R
abwechseln	a p v ɛ k s ə l n	V P W V K S V R N
abwechselnd	a p v ɛ k s ə l n t	V P W V K S V R N T
Abwechselung	a p v ɛ k s ə l ʊ ŋ	V P W V K S V R V N
Abwechslung	a p v ɛ k s l ʊ ŋ	V P W V K S R V N
abwechslungslos	a p v ɛ k s l ʊ ŋ s l o s	V P W V K S R V N S R V S
abwechslungsreich	a p v ɛ k s l ʊ ŋ s r ai x	V P W V K S R V N S R V K
Abweg	a p v e k	V P W V K
abwegig	a p v e g ɪ x	V P W V K V K
Abwegigkeit	a p v e g ɪ x k ai t	V P W V K V K K V T
abwehren	a p v e r ə n	V P W V R V N
Abwehr	a p v e r	V P W V R
Abwehrgeschütz	a p v e r g ə ʃ ʏ ts	V P W V R K V S V K
Abwehrkampf	a p v e r k a m pf	V P W V R K V M P
abweichen	a p v ai x ə n	V P W V K V N
Abweichung	a p v ai x ʊ ŋ	V P W V K V N
abweiden	a p v ai d ə n	V P W V T V N
abweisen	a p v ai z ə n	V P W V S V N
abweisend	a p v ai z ə n t	V P W V S V N T
Abweiser	a p v ai z ə r	V P W V S V R
Abweisung	a p v ai z ʊ ŋ	V P W V S V N
abwenden	a p v ɛ n d ə n	V P W V N T V N
abwendbar	a p v ɛ n t b a r	V P W V N T P V R
abwendig	a p v ɛ n d ɪ x	V P W V N T V K
Abwendung	a p v ɛ n d ʊ ŋ	V P W V N T V N
abwerben	a p v ɛ r b ə n	V P W V R P V N
Abwerbung	a p v ɛ r b ʊ ŋ	V P W V R P V N
abwerfen	a p v ɛ r f ə n	V P W V R P V N
abwerten	a p v e r t ə n	V P W V R T V N
Abwertung	a p v e r t ʊ ŋ	V P W V R T V N
abwesend	a p v e z ə n t	V P W V S V N T
Abwesende	a p v e z ə n d ə	V P W V S V N T V
Abwesenheit	a p v e z ə n h ai t	V P W V S V N H V T
abwettern	a p v ɛ t ə r n	V P W V T V R N
abwetzen	a p v ɛ ts ə n	V P W V K V N
abwichsen	a p v ɪ k s ə n	V P W V K S V N
abwickeln	a p v ɪ k ə l n	V P W V K V R N
Abwicklung	a p v ɪ k l ʊ ŋ	V P W V K R V N
abwiegen	a p v i g ə n	V P W V K V N
abwiegeln	a p v i g ə l n	V P W V K V R N
abwimmeln	a p v ɪ m ə l n	V P W V M V R N
Abwind	a p v ɪ n t	V P W V N T
abwinken	a p v ɪ ŋ k ə n	V P W V N K V N
abwirtschaften	a p v ɪ r t ʃ a f t ə n	V P W V R T S V P T V N
abwischen	a p v ɪ ʃ ə n	V P W V S V N
abwohnen	a p v o n ə n	V P W V N V N
abwracken	a p v r a k ə n	V P W R V K V N
Abwurf	a p v ʊ r f	V P W V R P
abwürgen	a p v ʏ r g ə n	V P W V R K V N
abyssisch	a p ʏ s ɪ ʃ	V P V S V S
Abyssus	a b ʏ s ʊ s	V P V S V S
abzahlen	a p ts a l ə n	V P K V R V N
abzählen	a p ts æ l ə n	V P K V R V N
Abzählreim	a p ts æ l r ai m	V P K V R R V M
Abzahlung	a p ts a l ʊ ŋ	V P K V R V N
abzapfen	a p ts a pf ə n	V P K V P V N
abzappeln	a p ts a p ə l n	V P K V P V R N
abzäumen	a p ts χ m ə n	V P K K M V N
abzäunen	a p ts χ n ə n	V P K K N V N
Abzäunung	a p ts χ n ʊ ŋ	V P K K N V N
abzehren	a p ts e r ə n	V P K V R V N
Abzehrung	a p ts e r ʊ ŋ	V P K V R V N
Abzeichen	a p ts ai x ə n	V P K V K V N
abzeichnen	a p ts ai x n ə n	V P K V K N V N
abziehen	a p ts i ə n	V P K V V N
Abziehbild	a p ts i b ɪ l t	V P K V P V R T
Abzieher	a p ts i ə r	V P K V V R
abzielen	a p ts i l ə n	V P K V R V N
abzirkeln	a p ts ɪ r k ə l n	V P K V R K V R N
Abzirkelung	a p ts ɪ r k ə l ʊ ŋ	V P K V R K V R V N
abzischen	a p ts ɪ ʃ ə n	V P K V S V N
Abzug	a p ts u k	V P K V K
abzüglich	a p ts y k l ɪ x	V P K V K R V K
abzugsfähig	a p ts u k s f æ ɪ x	V P K V K S P V V K
abzugsfrei	a p ts u k s f r ai	V P K V K S P R V
abzupfen	a p ts ʊ pf ə n	V P K V P V N
abzwacken	a p ts v a k ə n	V P K W V K V N
abzwecken	a p ts v ɛ k ə n	V P K W V K V N
abzweigen	a p ts v ai g ə n	V P K W V K V N
Abzweig	a p ts v ai k	V P K W V K
Abzweigdose	a p ts v ai k d o z ə	V P K W V K T V S V
Abzweigung	a p ts v ai g ʊ ŋ	V P K W V K V N
Accessoire	a k s ɛ s o a r ə	V K S V S V V R V
Aceton	a ts e t o n	V K V T V N
ach	a x	V K
Achäne	a x æ n ə	V K V N V
